generator, trial number, number
Weak, 1, 6
Pseudo, 1, 7
True, 1, 6
Quantum, 1, 6
Weak, 2, 8
Pseudo, 2, 4
True, 2, 2
Quantum, 2, 1
Weak, 3, 2
Pseudo, 3, 5
True, 3, 9
Quantum, 3, 10
Weak, 4, 3
Pseudo, 4, 9
True, 4, 10
Quantum, 4, 4
Weak, 5, 8
Pseudo, 5, 8
True, 5, 6
Quantum, 5, 7
Weak, 6, 5
Pseudo, 6, 2
True, 6, 5
Quantum, 6, 8
Weak, 7, 8
Pseudo, 7, 3
True, 7, 7
Quantum, 7, 1
Weak, 8, 10
Pseudo, 8, 6
True, 8, 10
Quantum, 8, 1
Weak, 9, 6
Pseudo, 9, 4
True, 9, 7
Quantum, 9, 8
Weak, 10, 4
Pseudo, 10, 3
True, 10, 7
Quantum, 10, 7
