generator, trial number, number
Weak, 1, 3
Pseudo, 1, 5
True, 1, 1
Quantum, 1, 2
Weak, 2, 10
Pseudo, 2, 7
True, 2, 6
Quantum, 2, 10
Weak, 3, 8
Pseudo, 3, 7
True, 3, 9
Quantum, 3, 1
Weak, 4, 4
Pseudo, 4, 8
True, 4, 6
Quantum, 4, 9
Weak, 5, 8
Pseudo, 5, 9
True, 5, 6
Quantum, 5, 9
Weak, 6, 9
Pseudo, 6, 2
True, 6, 8
Quantum, 6, 8
Weak, 7, 8
Pseudo, 7, 7
True, 7, 4
Quantum, 7, 7
Weak, 8, 5
Pseudo, 8, 8
True, 8, 8
Quantum, 8, 1
Weak, 9, 6
Pseudo, 9, 6
True, 9, 1
Quantum, 9, 5
Weak, 10, 6
Pseudo, 10, 1
True, 10, 4
Quantum, 10, 7
