generator, trial number, number
Weak, 1, 1
Pseudo, 1, 5
True, 1, 1
Quantum, 1, 6
Weak, 2, 6
Pseudo, 2, 8
True, 2, 3
Quantum, 2, 9
Weak, 3, 6
Pseudo, 3, 5
True, 3, 5
Quantum, 3, 2
Weak, 4, 8
Pseudo, 4, 7
True, 4, 4
Quantum, 4, 4
Weak, 5, 9
Pseudo, 5, 4
True, 5, 6
Quantum, 5, 9
Weak, 6, 6
Pseudo, 6, 1
True, 6, 1
Quantum, 6, 2
Weak, 7, 7
Pseudo, 7, 9
True, 7, 2
Quantum, 7, 6
Weak, 8, 2
Pseudo, 8, 6
True, 8, 2
Quantum, 8, 3
Weak, 9, 3
Pseudo, 9, 3
True, 9, 1
Quantum, 9, 1
Weak, 10, 8
Pseudo, 10, 5
True, 10, 4
Quantum, 10, 9
