generator, trial number, number
Weak, 1, 3
Pseudo, 1, 4
True, 1, 3
Quantum, 1, 3
Weak, 2, 8
Pseudo, 2, 1
True, 2, 5
Quantum, 2, 3
Weak, 3, 9
Pseudo, 3, 7
True, 3, 6
Quantum, 3, 5
Weak, 4, 10
Pseudo, 4, 3
True, 4, 8
Quantum, 4, 4
Weak, 5, 4
Pseudo, 5, 4
True, 5, 2
Quantum, 5, 5
Weak, 6, 3
Pseudo, 6, 6
True, 6, 4
Quantum, 6, 7
Weak, 7, 4
Pseudo, 7, 9
True, 7, 10
Quantum, 7, 2
Weak, 8, 5
Pseudo, 8, 4
True, 8, 7
Quantum, 8, 2
Weak, 9, 5
Pseudo, 9, 1
True, 9, 3
Quantum, 9, 5
Weak, 10, 3
Pseudo, 10, 8
True, 10, 6
Quantum, 10, 3
