generator, trial number, number
Weak, 1, 4
Pseudo, 1, 5
True, 1, 3
Quantum, 1, 10
Weak, 2, 4
Pseudo, 2, 8
True, 2, 7
Quantum, 2, 5
Weak, 3, 2
Pseudo, 3, 6
True, 3, 1
Quantum, 3, 3
Weak, 4, 9
Pseudo, 4, 3
True, 4, 6
Quantum, 4, 10
Weak, 5, 6
Pseudo, 5, 3
True, 5, 10
Quantum, 5, 7
Weak, 6, 4
Pseudo, 6, 8
True, 6, 1
Quantum, 6, 5
Weak, 7, 8
Pseudo, 7, 4
True, 7, 5
Quantum, 7, 1
Weak, 8, 9
Pseudo, 8, 4
True, 8, 5
Quantum, 8, 4
Weak, 9, 4
Pseudo, 9, 4
True, 9, 4
Quantum, 9, 3
Weak, 10, 7
Pseudo, 10, 5
True, 10, 4
Quantum, 10, 1
