generator, trial number, number
Weak, 1, 4
Pseudo, 1, 9
True, 1, 7
Quantum, 1, 6
Weak, 2, 9
Pseudo, 2, 5
True, 2, 9
Quantum, 2, 1
Weak, 3, 5
Pseudo, 3, 8
True, 3, 3
Quantum, 3, 10
Weak, 4, 4
Pseudo, 4, 5
True, 4, 5
Quantum, 4, 4
Weak, 5, 8
Pseudo, 5, 4
True, 5, 5
Quantum, 5, 5
Weak, 6, 2
Pseudo, 6, 4
True, 6, 4
Quantum, 6, 10
Weak, 7, 3
Pseudo, 7, 3
True, 7, 2
Quantum, 7, 4
Weak, 8, 4
Pseudo, 8, 8
True, 8, 2
Quantum, 8, 9
Weak, 9, 4
Pseudo, 9, 4
True, 9, 8
Quantum, 9, 10
Weak, 10, 3
Pseudo, 10, 3
True, 10, 10
Quantum, 10, 8
