generator, trial number, number
Weak, 1, 6
Pseudo, 1, 4
True, 1, 10
Quantum, 1, 3
Weak, 2, 2
Pseudo, 2, 1
True, 2, 2
Quantum, 2, 6
Weak, 3, 6
Pseudo, 3, 2
True, 3, 8
Quantum, 3, 5
Weak, 4, 7
Pseudo, 4, 5
True, 4, 8
Quantum, 4, 1
Weak, 5, 2
Pseudo, 5, 4
True, 5, 2
Quantum, 5, 7
Weak, 6, 10
Pseudo, 6, 9
True, 6, 4
Quantum, 6, 6
Weak, 7, 6
Pseudo, 7, 2
True, 7, 6
Quantum, 7, 2
Weak, 8, 6
Pseudo, 8, 6
True, 8, 10
Quantum, 8, 8
Weak, 9, 3
Pseudo, 9, 1
True, 9, 4
Quantum, 9, 1
Weak, 10, 7
Pseudo, 10, 3
True, 10, 3
Quantum, 10, 8
