generator, trial number, number
Weak, 1, 7
Pseudo, 1, 5
True, 1, 10
Quantum, 1, 6
Weak, 2, 8
Pseudo, 2, 1
True, 2, 6
Quantum, 2, 4
Weak, 3, 3
Pseudo, 3, 9
True, 3, 9
Quantum, 3, 7
Weak, 4, 3
Pseudo, 4, 3
True, 4, 5
Quantum, 4, 9
Weak, 5, 3
Pseudo, 5, 6
True, 5, 1
Quantum, 5, 10
Weak, 6, 6
Pseudo, 6, 3
True, 6, 9
Quantum, 6, 5
Weak, 7, 9
Pseudo, 7, 4
True, 7, 4
Quantum, 7, 1
Weak, 8, 9
Pseudo, 8, 4
True, 8, 6
Quantum, 8, 7
Weak, 9, 5
Pseudo, 9, 7
True, 9, 4
Quantum, 9, 10
Weak, 10, 2
Pseudo, 10, 1
True, 10, 4
Quantum, 10, 4
