generator, trial number, number
Weak, 1, 6
Pseudo, 1, 7
True, 1, 1
Quantum, 1, 6
Weak, 2, 9
Pseudo, 2, 6
True, 2, 2
Quantum, 2, 1
Weak, 3, 3
Pseudo, 3, 1
True, 3, 6
Quantum, 3, 9
Weak, 4, 4
Pseudo, 4, 4
True, 4, 3
Quantum, 4, 7
Weak, 5, 4
Pseudo, 5, 4
True, 5, 1
Quantum, 5, 5
Weak, 6, 5
Pseudo, 6, 2
True, 6, 2
Quantum, 6, 7
Weak, 7, 10
Pseudo, 7, 1
True, 7, 10
Quantum, 7, 10
Weak, 8, 9
Pseudo, 8, 5
True, 8, 7
Quantum, 8, 5
Weak, 9, 8
Pseudo, 9, 1
True, 9, 3
Quantum, 9, 2
Weak, 10, 8
Pseudo, 10, 5
True, 10, 8
Quantum, 10, 9
