generator, trial number, number
Weak, 1, 7
Pseudo, 1, 6
True, 1, 5
Quantum, 1, 7
Weak, 2, 1
Pseudo, 2, 9
True, 2, 1
Quantum, 2, 6
Weak, 3, 7
Pseudo, 3, 4
True, 3, 7
Quantum, 3, 3
Weak, 4, 9
Pseudo, 4, 5
True, 4, 10
Quantum, 4, 7
Weak, 5, 5
Pseudo, 5, 6
True, 5, 4
Quantum, 5, 3
Weak, 6, 5
Pseudo, 6, 2
True, 6, 5
Quantum, 6, 1
Weak, 7, 10
Pseudo, 7, 6
True, 7, 2
Quantum, 7, 10
Weak, 8, 5
Pseudo, 8, 6
True, 8, 1
Quantum, 8, 3
Weak, 9, 4
Pseudo, 9, 8
True, 9, 2
Quantum, 9, 2
Weak, 10, 8
Pseudo, 10, 1
True, 10, 1
Quantum, 10, 9
