generator, trial number, number
Weak, 1, 6
Pseudo, 1, 8
True, 1, 5
Quantum, 1, 5
Weak, 2, 3
Pseudo, 2, 6
True, 2, 10
Quantum, 2, 6
Weak, 3, 4
Pseudo, 3, 5
True, 3, 5
Quantum, 3, 7
Weak, 4, 9
Pseudo, 4, 7
True, 4, 3
Quantum, 4, 3
Weak, 5, 6
Pseudo, 5, 6
True, 5, 5
Quantum, 5, 4
Weak, 6, 2
Pseudo, 6, 4
True, 6, 4
Quantum, 6, 9
Weak, 7, 10
Pseudo, 7, 5
True, 7, 4
Quantum, 7, 7
Weak, 8, 5
Pseudo, 8, 9
True, 8, 3
Quantum, 8, 4
Weak, 9, 10
Pseudo, 9, 6
True, 9, 2
Quantum, 9, 1
Weak, 10, 2
Pseudo, 10, 4
True, 10, 9
Quantum, 10, 6
