generator, trial number, number
Weak, 1, 2
Pseudo, 1, 6
True, 1, 10
Quantum, 1, 9
Weak, 2, 10
Pseudo, 2, 7
True, 2, 7
Quantum, 2, 3
Weak, 3, 10
Pseudo, 3, 5
True, 3, 10
Quantum, 3, 2
Weak, 4, 7
Pseudo, 4, 4
True, 4, 5
Quantum, 4, 4
Weak, 5, 5
Pseudo, 5, 1
True, 5, 5
Quantum, 5, 4
Weak, 6, 9
Pseudo, 6, 2
True, 6, 4
Quantum, 6, 10
Weak, 7, 1
Pseudo, 7, 4
True, 7, 2
Quantum, 7, 7
Weak, 8, 3
Pseudo, 8, 5
True, 8, 3
Quantum, 8, 10
Weak, 9, 5
Pseudo, 9, 1
True, 9, 1
Quantum, 9, 5
Weak, 10, 6
Pseudo, 10, 1
True, 10, 6
Quantum, 10, 7
