generator, trial number, number
Weak, 1, 6
Pseudo, 1, 9
True, 1, 2
Quantum, 1, 1
Weak, 2, 10
Pseudo, 2, 8
True, 2, 7
Quantum, 2, 8
Weak, 3, 5
Pseudo, 3, 2
True, 3, 1
Quantum, 3, 1
Weak, 4, 7
Pseudo, 4, 8
True, 4, 8
Quantum, 4, 9
Weak, 5, 9
Pseudo, 5, 9
True, 5, 3
Quantum, 5, 1
Weak, 6, 7
Pseudo, 6, 1
True, 6, 5
Quantum, 6, 10
Weak, 7, 7
Pseudo, 7, 3
True, 7, 1
Quantum, 7, 9
Weak, 8, 3
Pseudo, 8, 1
True, 8, 3
Quantum, 8, 9
Weak, 9, 8
Pseudo, 9, 3
True, 9, 3
Quantum, 9, 4
Weak, 10, 8
Pseudo, 10, 5
True, 10, 2
Quantum, 10, 5
