generator, trial number, number
Weak, 1, 6
Pseudo, 1, 7
True, 1, 10
Quantum, 1, 1
Weak, 2, 6
Pseudo, 2, 1
True, 2, 7
Quantum, 2, 4
Weak, 3, 2
Pseudo, 3, 2
True, 3, 1
Quantum, 3, 8
Weak, 4, 8
Pseudo, 4, 2
True, 4, 5
Quantum, 4, 8
Weak, 5, 4
Pseudo, 5, 5
True, 5, 8
Quantum, 5, 7
Weak, 6, 4
Pseudo, 6, 4
True, 6, 7
Quantum, 6, 2
Weak, 7, 7
Pseudo, 7, 1
True, 7, 8
Quantum, 7, 4
Weak, 8, 8
Pseudo, 8, 3
True, 8, 9
Quantum, 8, 3
Weak, 9, 3
Pseudo, 9, 4
True, 9, 3
Quantum, 9, 5
Weak, 10, 3
Pseudo, 10, 6
True, 10, 5
Quantum, 10, 4
