generator, trial number, number
Weak, 1, 10
Pseudo, 1, 9
True, 1, 2
Quantum, 1, 4
Weak, 2, 5
Pseudo, 2, 3
True, 2, 5
Quantum, 2, 6
Weak, 3, 4
Pseudo, 3, 7
True, 3, 3
Quantum, 3, 3
Weak, 4, 6
Pseudo, 4, 4
True, 4, 5
Quantum, 4, 4
Weak, 5, 5
Pseudo, 5, 8
True, 5, 1
Quantum, 5, 9
Weak, 6, 1
Pseudo, 6, 6
True, 6, 7
Quantum, 6, 9
Weak, 7, 8
Pseudo, 7, 3
True, 7, 8
Quantum, 7, 6
Weak, 8, 6
Pseudo, 8, 4
True, 8, 1
Quantum, 8, 1
Weak, 9, 6
Pseudo, 9, 5
True, 9, 10
Quantum, 9, 5
Weak, 10, 3
Pseudo, 10, 2
True, 10, 10
Quantum, 10, 1
