generator, trial number, number
Weak, 1, 3
Pseudo, 1, 1
True, 1, 10
Quantum, 1, 10
Weak, 2, 5
Pseudo, 2, 1
True, 2, 7
Quantum, 2, 7
Weak, 3, 6
Pseudo, 3, 4
True, 3, 7
Quantum, 3, 1
Weak, 4, 1
Pseudo, 4, 5
True, 4, 8
Quantum, 4, 6
Weak, 5, 9
Pseudo, 5, 8
True, 5, 2
Quantum, 5, 1
Weak, 6, 6
Pseudo, 6, 9
True, 6, 4
Quantum, 6, 4
Weak, 7, 10
Pseudo, 7, 5
True, 7, 6
Quantum, 7, 1
Weak, 8, 3
Pseudo, 8, 3
True, 8, 5
Quantum, 8, 1
Weak, 9, 3
Pseudo, 9, 8
True, 9, 4
Quantum, 9, 6
Weak, 10, 3
Pseudo, 10, 2
True, 10, 10
Quantum, 10, 9
