generator, trial number, number
Weak, 1, 5
Pseudo, 1, 7
True, 1, 3
Quantum, 1, 10
Weak, 2, 8
Pseudo, 2, 1
True, 2, 4
Quantum, 2, 5
Weak, 3, 5
Pseudo, 3, 3
True, 3, 5
Quantum, 3, 8
Weak, 4, 5
Pseudo, 4, 2
True, 4, 10
Quantum, 4, 6
Weak, 5, 6
Pseudo, 5, 5
True, 5, 10
Quantum, 5, 2
Weak, 6, 3
Pseudo, 6, 5
True, 6, 6
Quantum, 6, 1
Weak, 7, 8
Pseudo, 7, 7
True, 7, 1
Quantum, 7, 9
Weak, 8, 10
Pseudo, 8, 5
True, 8, 3
Quantum, 8, 10
Weak, 9, 3
Pseudo, 9, 1
True, 9, 8
Quantum, 9, 6
Weak, 10, 4
Pseudo, 10, 7
True, 10, 7
Quantum, 10, 10
