generator, trial number, number
Weak, 1, 5
Pseudo, 1, 2
True, 1, 2
Quantum, 1, 1
Weak, 2, 5
Pseudo, 2, 3
True, 2, 3
Quantum, 2, 3
Weak, 3, 10
Pseudo, 3, 8
True, 3, 2
Quantum, 3, 9
Weak, 4, 4
Pseudo, 4, 7
True, 4, 5
Quantum, 4, 8
Weak, 5, 5
Pseudo, 5, 9
True, 5, 10
Quantum, 5, 10
Weak, 6, 5
Pseudo, 6, 3
True, 6, 5
Quantum, 6, 5
Weak, 7, 2
Pseudo, 7, 2
True, 7, 4
Quantum, 7, 7
Weak, 8, 2
Pseudo, 8, 8
True, 8, 10
Quantum, 8, 5
Weak, 9, 7
Pseudo, 9, 2
True, 9, 6
Quantum, 9, 1
Weak, 10, 6
Pseudo, 10, 3
True, 10, 7
Quantum, 10, 2
