generator, trial number, number
Weak, 1, 5
Pseudo, 1, 5
True, 1, 2
Quantum, 1, 5
Weak, 2, 6
Pseudo, 2, 9
True, 2, 1
Quantum, 2, 9
Weak, 3, 9
Pseudo, 3, 4
True, 3, 8
Quantum, 3, 9
Weak, 4, 4
Pseudo, 4, 1
True, 4, 3
Quantum, 4, 2
Weak, 5, 4
Pseudo, 5, 3
True, 5, 3
Quantum, 5, 2
Weak, 6, 9
Pseudo, 6, 4
True, 6, 3
Quantum, 6, 4
Weak, 7, 3
Pseudo, 7, 1
True, 7, 9
Quantum, 7, 5
Weak, 8, 10
Pseudo, 8, 2
True, 8, 7
Quantum, 8, 3
Weak, 9, 8
Pseudo, 9, 2
True, 9, 4
Quantum, 9, 10
Weak, 10, 2
Pseudo, 10, 7
True, 10, 6
Quantum, 10, 6
