generator, trial number, number
Weak, 1, 3
Pseudo, 1, 2
True, 1, 7
Quantum, 1, 2
Weak, 2, 8
Pseudo, 2, 7
True, 2, 5
Quantum, 2, 7
Weak, 3, 5
Pseudo, 3, 2
True, 3, 4
Quantum, 3, 4
Weak, 4, 8
Pseudo, 4, 6
True, 4, 8
Quantum, 4, 5
Weak, 5, 2
Pseudo, 5, 9
True, 5, 9
Quantum, 5, 2
Weak, 6, 6
Pseudo, 6, 9
True, 6, 6
Quantum, 6, 2
Weak, 7, 6
Pseudo, 7, 3
True, 7, 10
Quantum, 7, 8
Weak, 8, 10
Pseudo, 8, 9
True, 8, 1
Quantum, 8, 7
Weak, 9, 10
Pseudo, 9, 6
True, 9, 9
Quantum, 9, 3
Weak, 10, 9
Pseudo, 10, 5
True, 10, 2
Quantum, 10, 8
