generator, trial number, number
Weak, 1, 10
Pseudo, 1, 1
True, 1, 10
Quantum, 1, 10
Weak, 2, 4
Pseudo, 2, 4
True, 2, 7
Quantum, 2, 7
Weak, 3, 2
Pseudo, 3, 7
True, 3, 6
Quantum, 3, 5
Weak, 4, 3
Pseudo, 4, 7
True, 4, 4
Quantum, 4, 10
Weak, 5, 7
Pseudo, 5, 1
True, 5, 4
Quantum, 5, 1
Weak, 6, 4
Pseudo, 6, 5
True, 6, 8
Quantum, 6, 3
Weak, 7, 6
Pseudo, 7, 6
True, 7, 9
Quantum, 7, 10
Weak, 8, 2
Pseudo, 8, 7
True, 8, 7
Quantum, 8, 6
Weak, 9, 4
Pseudo, 9, 8
True, 9, 4
Quantum, 9, 9
Weak, 10, 9
Pseudo, 10, 3
True, 10, 8
Quantum, 10, 6
