generator, trial number, number
Weak, 1, 1
Pseudo, 1, 8
True, 1, 4
Quantum, 1, 10
Weak, 2, 8
Pseudo, 2, 3
True, 2, 4
Quantum, 2, 10
Weak, 3, 4
Pseudo, 3, 1
True, 3, 2
Quantum, 3, 5
Weak, 4, 6
Pseudo, 4, 6
True, 4, 8
Quantum, 4, 7
Weak, 5, 7
Pseudo, 5, 6
True, 5, 3
Quantum, 5, 10
Weak, 6, 8
Pseudo, 6, 3
True, 6, 10
Quantum, 6, 10
Weak, 7, 8
Pseudo, 7, 2
True, 7, 6
Quantum, 7, 8
Weak, 8, 3
Pseudo, 8, 7
True, 8, 8
Quantum, 8, 5
Weak, 9, 2
Pseudo, 9, 2
True, 9, 7
Quantum, 9, 9
Weak, 10, 1
Pseudo, 10, 7
True, 10, 8
Quantum, 10, 3
