generator, trial number, number
Weak, 1, 2
Pseudo, 1, 3
True, 1, 3
Quantum, 1, 8
Weak, 2, 6
Pseudo, 2, 8
True, 2, 3
Quantum, 2, 8
Weak, 3, 7
Pseudo, 3, 5
True, 3, 8
Quantum, 3, 3
Weak, 4, 1
Pseudo, 4, 1
True, 4, 3
Quantum, 4, 7
Weak, 5, 7
Pseudo, 5, 3
True, 5, 3
Quantum, 5, 6
Weak, 6, 6
Pseudo, 6, 1
True, 6, 3
Quantum, 6, 3
Weak, 7, 5
Pseudo, 7, 6
True, 7, 5
Quantum, 7, 4
Weak, 8, 5
Pseudo, 8, 9
True, 8, 8
Quantum, 8, 1
Weak, 9, 4
Pseudo, 9, 5
True, 9, 3
Quantum, 9, 7
Weak, 10, 1
Pseudo, 10, 8
True, 10, 10
Quantum, 10, 9
