generator, trial number, number
Weak, 1, 4
Pseudo, 1, 6
True, 1, 2
Quantum, 1, 7
Weak, 2, 8
Pseudo, 2, 5
True, 2, 8
Quantum, 2, 7
Weak, 3, 4
Pseudo, 3, 1
True, 3, 4
Quantum, 3, 3
Weak, 4, 10
Pseudo, 4, 8
True, 4, 8
Quantum, 4, 3
Weak, 5, 10
Pseudo, 5, 1
True, 5, 10
Quantum, 5, 2
Weak, 6, 5
Pseudo, 6, 5
True, 6, 5
Quantum, 6, 10
Weak, 7, 8
Pseudo, 7, 4
True, 7, 9
Quantum, 7, 6
Weak, 8, 9
Pseudo, 8, 7
True, 8, 8
Quantum, 8, 3
Weak, 9, 5
Pseudo, 9, 2
True, 9, 8
Quantum, 9, 4
Weak, 10, 3
Pseudo, 10, 5
True, 10, 10
Quantum, 10, 10
