generator, trial number, number
Weak, 1, 4
Pseudo, 1, 4
True, 1, 4
Quantum, 1, 7
Weak, 2, 5
Pseudo, 2, 8
True, 2, 4
Quantum, 2, 2
Weak, 3, 9
Pseudo, 3, 1
True, 3, 5
Quantum, 3, 10
Weak, 4, 2
Pseudo, 4, 9
True, 4, 10
Quantum, 4, 1
Weak, 5, 2
Pseudo, 5, 5
True, 5, 1
Quantum, 5, 1
Weak, 6, 9
Pseudo, 6, 8
True, 6, 3
Quantum, 6, 1
Weak, 7, 8
Pseudo, 7, 3
True, 7, 5
Quantum, 7, 7
Weak, 8, 7
Pseudo, 8, 1
True, 8, 1
Quantum, 8, 9
Weak, 9, 10
Pseudo, 9, 4
True, 9, 8
Quantum, 9, 1
Weak, 10, 7
Pseudo, 10, 7
True, 10, 5
Quantum, 10, 10
