generator, trial number, number
Weak, 1, 4
Pseudo, 1, 5
True, 1, 1
Quantum, 1, 9
Weak, 2, 6
Pseudo, 2, 1
True, 2, 5
Quantum, 2, 9
Weak, 3, 9
Pseudo, 3, 9
True, 3, 10
Quantum, 3, 3
Weak, 4, 9
Pseudo, 4, 2
True, 4, 8
Quantum, 4, 1
Weak, 5, 4
Pseudo, 5, 5
True, 5, 10
Quantum, 5, 5
Weak, 6, 7
Pseudo, 6, 4
True, 6, 9
Quantum, 6, 9
Weak, 7, 2
Pseudo, 7, 3
True, 7, 7
Quantum, 7, 9
Weak, 8, 7
Pseudo, 8, 1
True, 8, 6
Quantum, 8, 5
Weak, 9, 5
Pseudo, 9, 1
True, 9, 6
Quantum, 9, 9
Weak, 10, 2
Pseudo, 10, 7
True, 10, 5
Quantum, 10, 8
