generator, trial number, number
Weak, 1, 8
Pseudo, 1, 9
True, 1, 6
Quantum, 1, 10
Weak, 2, 6
Pseudo, 2, 2
True, 2, 1
Quantum, 2, 5
Weak, 3, 9
Pseudo, 3, 4
True, 3, 8
Quantum, 3, 10
Weak, 4, 8
Pseudo, 4, 7
True, 4, 9
Quantum, 4, 2
Weak, 5, 4
Pseudo, 5, 3
True, 5, 9
Quantum, 5, 8
Weak, 6, 2
Pseudo, 6, 9
True, 6, 8
Quantum, 6, 6
Weak, 7, 9
Pseudo, 7, 1
True, 7, 3
Quantum, 7, 8
Weak, 8, 4
Pseudo, 8, 1
True, 8, 6
Quantum, 8, 4
Weak, 9, 10
Pseudo, 9, 4
True, 9, 7
Quantum, 9, 5
Weak, 10, 2
Pseudo, 10, 4
True, 10, 5
Quantum, 10, 4
