generator, trial number, number
Weak, 1, 10
Pseudo, 1, 2
True, 1, 5
Quantum, 1, 10
Weak, 2, 3
Pseudo, 2, 9
True, 2, 3
Quantum, 2, 10
Weak, 3, 5
Pseudo, 3, 5
True, 3, 8
Quantum, 3, 10
Weak, 4, 6
Pseudo, 4, 9
True, 4, 4
Quantum, 4, 5
Weak, 5, 7
Pseudo, 5, 2
True, 5, 8
Quantum, 5, 1
Weak, 6, 7
Pseudo, 6, 2
True, 6, 8
Quantum, 6, 8
Weak, 7, 9
Pseudo, 7, 4
True, 7, 1
Quantum, 7, 7
Weak, 8, 2
Pseudo, 8, 3
True, 8, 10
Quantum, 8, 5
Weak, 9, 6
Pseudo, 9, 6
True, 9, 6
Quantum, 9, 2
Weak, 10, 1
Pseudo, 10, 4
True, 10, 8
Quantum, 10, 6
