generator, trial number, number
Weak, 1, 4
Pseudo, 1, 3
True, 1, 4
Quantum, 1, 3
Weak, 2, 1
Pseudo, 2, 7
True, 2, 2
Quantum, 2, 3
Weak, 3, 1
Pseudo, 3, 5
True, 3, 1
Quantum, 3, 1
Weak, 4, 3
Pseudo, 4, 5
True, 4, 8
Quantum, 4, 3
Weak, 5, 4
Pseudo, 5, 5
True, 5, 2
Quantum, 5, 9
Weak, 6, 1
Pseudo, 6, 3
True, 6, 8
Quantum, 6, 5
Weak, 7, 7
Pseudo, 7, 6
True, 7, 8
Quantum, 7, 5
Weak, 8, 2
Pseudo, 8, 1
True, 8, 10
Quantum, 8, 6
Weak, 9, 9
Pseudo, 9, 4
True, 9, 1
Quantum, 9, 9
Weak, 10, 2
Pseudo, 10, 6
True, 10, 6
Quantum, 10, 5
