generator, trial number, number
Weak, 1, 3
Pseudo, 1, 2
True, 1, 8
Quantum, 1, 9
Weak, 2, 6
Pseudo, 2, 2
True, 2, 2
Quantum, 2, 10
Weak, 3, 3
Pseudo, 3, 6
True, 3, 5
Quantum, 3, 6
Weak, 4, 8
Pseudo, 4, 5
True, 4, 9
Quantum, 4, 5
Weak, 5, 9
Pseudo, 5, 2
True, 5, 5
Quantum, 5, 5
Weak, 6, 6
Pseudo, 6, 5
True, 6, 7
Quantum, 6, 1
Weak, 7, 3
Pseudo, 7, 8
True, 7, 10
Quantum, 7, 10
Weak, 8, 6
Pseudo, 8, 6
True, 8, 8
Quantum, 8, 4
Weak, 9, 2
Pseudo, 9, 5
True, 9, 1
Quantum, 9, 3
Weak, 10, 6
Pseudo, 10, 5
True, 10, 7
Quantum, 10, 8
