generator, trial number, number
Weak, 1, 4
Pseudo, 1, 9
True, 1, 2
Quantum, 1, 5
Weak, 2, 2
Pseudo, 2, 5
True, 2, 1
Quantum, 2, 5
Weak, 3, 4
Pseudo, 3, 8
True, 3, 5
Quantum, 3, 3
Weak, 4, 9
Pseudo, 4, 4
True, 4, 6
Quantum, 4, 4
Weak, 5, 9
Pseudo, 5, 9
True, 5, 9
Quantum, 5, 9
Weak, 6, 3
Pseudo, 6, 8
True, 6, 10
Quantum, 6, 9
Weak, 7, 9
Pseudo, 7, 5
True, 7, 7
Quantum, 7, 5
Weak, 8, 7
Pseudo, 8, 8
True, 8, 2
Quantum, 8, 1
Weak, 9, 4
Pseudo, 9, 2
True, 9, 8
Quantum, 9, 6
Weak, 10, 2
Pseudo, 10, 6
True, 10, 7
Quantum, 10, 7
