generator, trial number, number
Weak, 1, 8
Pseudo, 1, 4
True, 1, 4
Quantum, 1, 10
Weak, 2, 5
Pseudo, 2, 9
True, 2, 4
Quantum, 2, 8
Weak, 3, 8
Pseudo, 3, 4
True, 3, 3
Quantum, 3, 8
Weak, 4, 9
Pseudo, 4, 4
True, 4, 1
Quantum, 4, 2
Weak, 5, 4
Pseudo, 5, 8
True, 5, 6
Quantum, 5, 1
Weak, 6, 2
Pseudo, 6, 1
True, 6, 10
Quantum, 6, 1
Weak, 7, 2
Pseudo, 7, 9
True, 7, 1
Quantum, 7, 4
Weak, 8, 9
Pseudo, 8, 9
True, 8, 2
Quantum, 8, 3
Weak, 9, 4
Pseudo, 9, 7
True, 9, 4
Quantum, 9, 4
Weak, 10, 10
Pseudo, 10, 3
True, 10, 7
Quantum, 10, 7
