generator, trial number, number
Weak, 1, 9
Pseudo, 1, 2
True, 1, 9
Quantum, 1, 3
Weak, 2, 1
Pseudo, 2, 5
True, 2, 1
Quantum, 2, 2
Weak, 3, 7
Pseudo, 3, 5
True, 3, 7
Quantum, 3, 2
Weak, 4, 7
Pseudo, 4, 6
True, 4, 6
Quantum, 4, 3
Weak, 5, 6
Pseudo, 5, 1
True, 5, 1
Quantum, 5, 1
Weak, 6, 2
Pseudo, 6, 3
True, 6, 7
Quantum, 6, 1
Weak, 7, 5
Pseudo, 7, 1
True, 7, 2
Quantum, 7, 6
Weak, 8, 9
Pseudo, 8, 3
True, 8, 9
Quantum, 8, 5
Weak, 9, 7
Pseudo, 9, 4
True, 9, 2
Quantum, 9, 2
Weak, 10, 6
Pseudo, 10, 9
True, 10, 7
Quantum, 10, 4
