generator, trial number, number
Weak, 1, 6
Pseudo, 1, 5
True, 1, 2
Quantum, 1, 4
Weak, 2, 5
Pseudo, 2, 4
True, 2, 5
Quantum, 2, 5
Weak, 3, 6
Pseudo, 3, 6
True, 3, 1
Quantum, 3, 2
Weak, 4, 10
Pseudo, 4, 4
True, 4, 2
Quantum, 4, 4
Weak, 5, 7
Pseudo, 5, 9
True, 5, 1
Quantum, 5, 9
Weak, 6, 2
Pseudo, 6, 8
True, 6, 9
Quantum, 6, 7
Weak, 7, 7
Pseudo, 7, 3
True, 7, 7
Quantum, 7, 8
Weak, 8, 5
Pseudo, 8, 9
True, 8, 2
Quantum, 8, 3
Weak, 9, 8
Pseudo, 9, 1
True, 9, 9
Quantum, 9, 1
Weak, 10, 4
Pseudo, 10, 7
True, 10, 9
Quantum, 10, 5
