generator, trial number, number
Weak, 1, 2
Pseudo, 1, 8
True, 1, 4
Quantum, 1, 9
Weak, 2, 8
Pseudo, 2, 3
True, 2, 10
Quantum, 2, 4
Weak, 3, 2
Pseudo, 3, 4
True, 3, 4
Quantum, 3, 9
Weak, 4, 10
Pseudo, 4, 8
True, 4, 10
Quantum, 4, 10
Weak, 5, 7
Pseudo, 5, 9
True, 5, 3
Quantum, 5, 4
Weak, 6, 1
Pseudo, 6, 4
True, 6, 3
Quantum, 6, 3
Weak, 7, 9
Pseudo, 7, 5
True, 7, 9
Quantum, 7, 10
Weak, 8, 2
Pseudo, 8, 6
True, 8, 3
Quantum, 8, 3
Weak, 9, 4
Pseudo, 9, 3
True, 9, 7
Quantum, 9, 5
Weak, 10, 7
Pseudo, 10, 3
True, 10, 4
Quantum, 10, 7
