generator, trial number, number
Weak, 1, 9
Pseudo, 1, 1
True, 1, 5
Quantum, 1, 10
Weak, 2, 5
Pseudo, 2, 8
True, 2, 10
Quantum, 2, 1
Weak, 3, 5
Pseudo, 3, 1
True, 3, 2
Quantum, 3, 5
Weak, 4, 6
Pseudo, 4, 5
True, 4, 3
Quantum, 4, 3
Weak, 5, 4
Pseudo, 5, 9
True, 5, 10
Quantum, 5, 5
Weak, 6, 6
Pseudo, 6, 3
True, 6, 4
Quantum, 6, 2
Weak, 7, 7
Pseudo, 7, 1
True, 7, 9
Quantum, 7, 1
Weak, 8, 9
Pseudo, 8, 1
True, 8, 3
Quantum, 8, 3
Weak, 9, 3
Pseudo, 9, 7
True, 9, 2
Quantum, 9, 9
Weak, 10, 3
Pseudo, 10, 9
True, 10, 4
Quantum, 10, 2
