generator, trial number, number
Weak, 1, 10
Pseudo, 1, 8
True, 1, 7
Quantum, 1, 4
Weak, 2, 8
Pseudo, 2, 8
True, 2, 9
Quantum, 2, 4
Weak, 3, 7
Pseudo, 3, 1
True, 3, 10
Quantum, 3, 1
Weak, 4, 2
Pseudo, 4, 1
True, 4, 4
Quantum, 4, 3
Weak, 5, 2
Pseudo, 5, 1
True, 5, 10
Quantum, 5, 5
Weak, 6, 4
Pseudo, 6, 3
True, 6, 1
Quantum, 6, 3
Weak, 7, 7
Pseudo, 7, 8
True, 7, 10
Quantum, 7, 6
Weak, 8, 1
Pseudo, 8, 1
True, 8, 1
Quantum, 8, 10
Weak, 9, 2
Pseudo, 9, 8
True, 9, 5
Quantum, 9, 10
Weak, 10, 7
Pseudo, 10, 9
True, 10, 2
Quantum, 10, 7
