generator, trial number, number
Weak, 1, 5
Pseudo, 1, 8
True, 1, 2
Quantum, 1, 4
Weak, 2, 7
Pseudo, 2, 2
True, 2, 7
Quantum, 2, 1
Weak, 3, 5
Pseudo, 3, 3
True, 3, 9
Quantum, 3, 5
Weak, 4, 8
Pseudo, 4, 7
True, 4, 2
Quantum, 4, 6
Weak, 5, 4
Pseudo, 5, 3
True, 5, 5
Quantum, 5, 9
Weak, 6, 8
Pseudo, 6, 8
True, 6, 7
Quantum, 6, 2
Weak, 7, 9
Pseudo, 7, 8
True, 7, 5
Quantum, 7, 8
Weak, 8, 2
Pseudo, 8, 1
True, 8, 2
Quantum, 8, 8
Weak, 9, 8
Pseudo, 9, 2
True, 9, 7
Quantum, 9, 1
Weak, 10, 7
Pseudo, 10, 4
True, 10, 7
Quantum, 10, 6
