generator, trial number, number
Weak, 1, 7
Pseudo, 1, 2
True, 1, 7
Quantum, 1, 6
Weak, 2, 8
Pseudo, 2, 7
True, 2, 8
Quantum, 2, 9
Weak, 3, 8
Pseudo, 3, 5
True, 3, 6
Quantum, 3, 3
Weak, 4, 8
Pseudo, 4, 1
True, 4, 9
Quantum, 4, 7
Weak, 5, 1
Pseudo, 5, 8
True, 5, 4
Quantum, 5, 7
Weak, 6, 4
Pseudo, 6, 4
True, 6, 4
Quantum, 6, 7
Weak, 7, 8
Pseudo, 7, 3
True, 7, 10
Quantum, 7, 8
Weak, 8, 4
Pseudo, 8, 9
True, 8, 7
Quantum, 8, 4
Weak, 9, 9
Pseudo, 9, 6
True, 9, 8
Quantum, 9, 2
Weak, 10, 3
Pseudo, 10, 6
True, 10, 10
Quantum, 10, 7
