generator, trial number, number
Weak, 1, 8
Pseudo, 1, 6
True, 1, 5
Quantum, 1, 9
Weak, 2, 8
Pseudo, 2, 8
True, 2, 5
Quantum, 2, 9
Weak, 3, 4
Pseudo, 3, 6
True, 3, 2
Quantum, 3, 7
Weak, 4, 7
Pseudo, 4, 8
True, 4, 7
Quantum, 4, 3
Weak, 5, 2
Pseudo, 5, 7
True, 5, 3
Quantum, 5, 5
Weak, 6, 3
Pseudo, 6, 2
True, 6, 6
Quantum, 6, 1
Weak, 7, 5
Pseudo, 7, 1
True, 7, 8
Quantum, 7, 2
Weak, 8, 10
Pseudo, 8, 9
True, 8, 7
Quantum, 8, 4
Weak, 9, 9
Pseudo, 9, 2
True, 9, 9
Quantum, 9, 7
Weak, 10, 5
Pseudo, 10, 7
True, 10, 9
Quantum, 10, 9
