generator, trial number, number
Weak, 1, 3
Pseudo, 1, 6
True, 1, 7
Quantum, 1, 2
Weak, 2, 6
Pseudo, 2, 1
True, 2, 6
Quantum, 2, 8
Weak, 3, 3
Pseudo, 3, 3
True, 3, 4
Quantum, 3, 3
Weak, 4, 5
Pseudo, 4, 2
True, 4, 8
Quantum, 4, 5
Weak, 5, 6
Pseudo, 5, 6
True, 5, 10
Quantum, 5, 3
Weak, 6, 6
Pseudo, 6, 8
True, 6, 1
Quantum, 6, 3
Weak, 7, 1
Pseudo, 7, 5
True, 7, 2
Quantum, 7, 6
Weak, 8, 10
Pseudo, 8, 9
True, 8, 10
Quantum, 8, 7
Weak, 9, 3
Pseudo, 9, 4
True, 9, 8
Quantum, 9, 9
Weak, 10, 2
Pseudo, 10, 3
True, 10, 2
Quantum, 10, 9
