generator, trial number, number
Weak, 1, 1
Pseudo, 1, 2
True, 1, 1
Quantum, 1, 4
Weak, 2, 6
Pseudo, 2, 6
True, 2, 8
Quantum, 2, 1
Weak, 3, 9
Pseudo, 3, 4
True, 3, 1
Quantum, 3, 7
Weak, 4, 2
Pseudo, 4, 5
True, 4, 9
Quantum, 4, 2
Weak, 5, 4
Pseudo, 5, 1
True, 5, 10
Quantum, 5, 7
Weak, 6, 1
Pseudo, 6, 9
True, 6, 7
Quantum, 6, 6
Weak, 7, 7
Pseudo, 7, 3
True, 7, 4
Quantum, 7, 6
Weak, 8, 9
Pseudo, 8, 6
True, 8, 6
Quantum, 8, 2
Weak, 9, 4
Pseudo, 9, 2
True, 9, 3
Quantum, 9, 10
Weak, 10, 5
Pseudo, 10, 5
True, 10, 8
Quantum, 10, 6
