generator, trial number, number
Weak, 1, 2
Pseudo, 1, 7
True, 1, 4
Quantum, 1, 7
Weak, 2, 3
Pseudo, 2, 9
True, 2, 1
Quantum, 2, 10
Weak, 3, 6
Pseudo, 3, 2
True, 3, 10
Quantum, 3, 6
Weak, 4, 9
Pseudo, 4, 6
True, 4, 3
Quantum, 4, 9
Weak, 5, 5
Pseudo, 5, 8
True, 5, 7
Quantum, 5, 8
Weak, 6, 6
Pseudo, 6, 7
True, 6, 1
Quantum, 6, 1
Weak, 7, 9
Pseudo, 7, 3
True, 7, 1
Quantum, 7, 10
Weak, 8, 5
Pseudo, 8, 3
True, 8, 3
Quantum, 8, 6
Weak, 9, 4
Pseudo, 9, 8
True, 9, 4
Quantum, 9, 9
Weak, 10, 6
Pseudo, 10, 8
True, 10, 7
Quantum, 10, 9
