generator, trial number, number
Weak, 1, 5
Pseudo, 1, 8
True, 1, 4
Quantum, 1, 4
Weak, 2, 3
Pseudo, 2, 2
True, 2, 8
Quantum, 2, 3
Weak, 3, 4
Pseudo, 3, 7
True, 3, 6
Quantum, 3, 5
Weak, 4, 7
Pseudo, 4, 1
True, 4, 10
Quantum, 4, 1
Weak, 5, 6
Pseudo, 5, 6
True, 5, 7
Quantum, 5, 8
Weak, 6, 7
Pseudo, 6, 9
True, 6, 6
Quantum, 6, 7
Weak, 7, 9
Pseudo, 7, 4
True, 7, 9
Quantum, 7, 5
Weak, 8, 3
Pseudo, 8, 3
True, 8, 3
Quantum, 8, 8
Weak, 9, 2
Pseudo, 9, 4
True, 9, 9
Quantum, 9, 4
Weak, 10, 3
Pseudo, 10, 6
True, 10, 10
Quantum, 10, 3
