generator, trial number, number
Weak, 1, 6
Pseudo, 1, 7
True, 1, 7
Quantum, 1, 2
Weak, 2, 8
Pseudo, 2, 3
True, 2, 5
Quantum, 2, 5
Weak, 3, 2
Pseudo, 3, 3
True, 3, 5
Quantum, 3, 7
Weak, 4, 5
Pseudo, 4, 4
True, 4, 1
Quantum, 4, 10
Weak, 5, 2
Pseudo, 5, 7
True, 5, 2
Quantum, 5, 8
Weak, 6, 6
Pseudo, 6, 7
True, 6, 5
Quantum, 6, 5
Weak, 7, 2
Pseudo, 7, 9
True, 7, 3
Quantum, 7, 4
Weak, 8, 3
Pseudo, 8, 5
True, 8, 1
Quantum, 8, 9
Weak, 9, 2
Pseudo, 9, 7
True, 9, 1
Quantum, 9, 7
Weak, 10, 2
Pseudo, 10, 8
True, 10, 5
Quantum, 10, 5
