generator, trial number, number
Weak, 1, 2
Pseudo, 1, 4
True, 1, 1
Quantum, 1, 3
Weak, 2, 6
Pseudo, 2, 3
True, 2, 6
Quantum, 2, 6
Weak, 3, 9
Pseudo, 3, 4
True, 3, 8
Quantum, 3, 5
Weak, 4, 8
Pseudo, 4, 7
True, 4, 5
Quantum, 4, 9
Weak, 5, 4
Pseudo, 5, 1
True, 5, 9
Quantum, 5, 2
Weak, 6, 1
Pseudo, 6, 4
True, 6, 8
Quantum, 6, 4
Weak, 7, 5
Pseudo, 7, 2
True, 7, 9
Quantum, 7, 4
Weak, 8, 7
Pseudo, 8, 1
True, 8, 4
Quantum, 8, 3
Weak, 9, 7
Pseudo, 9, 7
True, 9, 3
Quantum, 9, 4
Weak, 10, 2
Pseudo, 10, 8
True, 10, 3
Quantum, 10, 5
