generator, trial number, number
Weak, 1, 2
Pseudo, 1, 9
True, 1, 6
Quantum, 1, 3
Weak, 2, 7
Pseudo, 2, 4
True, 2, 5
Quantum, 2, 1
Weak, 3, 7
Pseudo, 3, 1
True, 3, 3
Quantum, 3, 8
Weak, 4, 7
Pseudo, 4, 4
True, 4, 9
Quantum, 4, 4
Weak, 5, 4
Pseudo, 5, 5
True, 5, 9
Quantum, 5, 3
Weak, 6, 2
Pseudo, 6, 3
True, 6, 1
Quantum, 6, 9
Weak, 7, 7
Pseudo, 7, 3
True, 7, 8
Quantum, 7, 7
Weak, 8, 9
Pseudo, 8, 5
True, 8, 10
Quantum, 8, 8
Weak, 9, 3
Pseudo, 9, 9
True, 9, 6
Quantum, 9, 4
Weak, 10, 8
Pseudo, 10, 4
True, 10, 9
Quantum, 10, 1
