generator, trial number, number
Weak, 1, 1
Pseudo, 1, 8
True, 1, 1
Quantum, 1, 8
Weak, 2, 4
Pseudo, 2, 2
True, 2, 1
Quantum, 2, 2
Weak, 3, 8
Pseudo, 3, 8
True, 3, 10
Quantum, 3, 10
Weak, 4, 5
Pseudo, 4, 6
True, 4, 6
Quantum, 4, 9
Weak, 5, 4
Pseudo, 5, 2
True, 5, 4
Quantum, 5, 2
Weak, 6, 8
Pseudo, 6, 4
True, 6, 8
Quantum, 6, 5
Weak, 7, 8
Pseudo, 7, 7
True, 7, 8
Quantum, 7, 4
Weak, 8, 10
Pseudo, 8, 1
True, 8, 8
Quantum, 8, 2
Weak, 9, 4
Pseudo, 9, 2
True, 9, 6
Quantum, 9, 6
Weak, 10, 4
Pseudo, 10, 2
True, 10, 6
Quantum, 10, 5
