generator, trial number, number
Weak, 1, 3
Pseudo, 1, 4
True, 1, 5
Quantum, 1, 5
Weak, 2, 1
Pseudo, 2, 8
True, 2, 10
Quantum, 2, 10
Weak, 3, 2
Pseudo, 3, 7
True, 3, 5
Quantum, 3, 6
Weak, 4, 1
Pseudo, 4, 5
True, 4, 6
Quantum, 4, 6
Weak, 5, 3
Pseudo, 5, 5
True, 5, 6
Quantum, 5, 7
Weak, 6, 3
Pseudo, 6, 8
True, 6, 8
Quantum, 6, 9
Weak, 7, 3
Pseudo, 7, 2
True, 7, 5
Quantum, 7, 3
Weak, 8, 1
Pseudo, 8, 6
True, 8, 7
Quantum, 8, 1
Weak, 9, 9
Pseudo, 9, 2
True, 9, 8
Quantum, 9, 9
Weak, 10, 4
Pseudo, 10, 5
True, 10, 10
Quantum, 10, 8
