generator, trial number, number
Weak, 1, 3
Pseudo, 1, 6
True, 1, 10
Quantum, 1, 1
Weak, 2, 9
Pseudo, 2, 7
True, 2, 1
Quantum, 2, 2
Weak, 3, 8
Pseudo, 3, 2
True, 3, 1
Quantum, 3, 4
Weak, 4, 4
Pseudo, 4, 9
True, 4, 7
Quantum, 4, 9
Weak, 5, 4
Pseudo, 5, 3
True, 5, 2
Quantum, 5, 1
Weak, 6, 3
Pseudo, 6, 6
True, 6, 7
Quantum, 6, 6
Weak, 7, 1
Pseudo, 7, 3
True, 7, 2
Quantum, 7, 4
Weak, 8, 9
Pseudo, 8, 1
True, 8, 4
Quantum, 8, 4
Weak, 9, 9
Pseudo, 9, 6
True, 9, 8
Quantum, 9, 3
Weak, 10, 9
Pseudo, 10, 9
True, 10, 4
Quantum, 10, 6
