generator, trial number, number
Weak, 1, 3
Pseudo, 1, 4
True, 1, 9
Quantum, 1, 10
Weak, 2, 5
Pseudo, 2, 8
True, 2, 2
Quantum, 2, 5
Weak, 3, 9
Pseudo, 3, 2
True, 3, 6
Quantum, 3, 8
Weak, 4, 5
Pseudo, 4, 6
True, 4, 7
Quantum, 4, 4
Weak, 5, 3
Pseudo, 5, 6
True, 5, 4
Quantum, 5, 9
Weak, 6, 9
Pseudo, 6, 8
True, 6, 8
Quantum, 6, 2
Weak, 7, 6
Pseudo, 7, 1
True, 7, 1
Quantum, 7, 5
Weak, 8, 8
Pseudo, 8, 3
True, 8, 2
Quantum, 8, 9
Weak, 9, 6
Pseudo, 9, 7
True, 9, 5
Quantum, 9, 7
Weak, 10, 3
Pseudo, 10, 1
True, 10, 9
Quantum, 10, 9
