generator, trial number, number
Weak, 1, 4
Pseudo, 1, 2
True, 1, 1
Quantum, 1, 9
Weak, 2, 6
Pseudo, 2, 1
True, 2, 4
Quantum, 2, 8
Weak, 3, 5
Pseudo, 3, 9
True, 3, 2
Quantum, 3, 4
Weak, 4, 4
Pseudo, 4, 5
True, 4, 8
Quantum, 4, 2
Weak, 5, 4
Pseudo, 5, 3
True, 5, 6
Quantum, 5, 8
Weak, 6, 8
Pseudo, 6, 6
True, 6, 3
Quantum, 6, 5
Weak, 7, 4
Pseudo, 7, 7
True, 7, 4
Quantum, 7, 9
Weak, 8, 3
Pseudo, 8, 3
True, 8, 3
Quantum, 8, 9
Weak, 9, 4
Pseudo, 9, 2
True, 9, 7
Quantum, 9, 5
Weak, 10, 6
Pseudo, 10, 4
True, 10, 2
Quantum, 10, 9
