generator, trial number, number
Weak, 1, 8
Pseudo, 1, 3
True, 1, 4
Quantum, 1, 10
Weak, 2, 9
Pseudo, 2, 4
True, 2, 3
Quantum, 2, 10
Weak, 3, 3
Pseudo, 3, 8
True, 3, 3
Quantum, 3, 2
Weak, 4, 5
Pseudo, 4, 8
True, 4, 2
Quantum, 4, 8
Weak, 5, 9
Pseudo, 5, 5
True, 5, 2
Quantum, 5, 5
Weak, 6, 6
Pseudo, 6, 1
True, 6, 10
Quantum, 6, 10
Weak, 7, 1
Pseudo, 7, 8
True, 7, 8
Quantum, 7, 2
Weak, 8, 1
Pseudo, 8, 3
True, 8, 10
Quantum, 8, 8
Weak, 9, 4
Pseudo, 9, 3
True, 9, 6
Quantum, 9, 1
Weak, 10, 1
Pseudo, 10, 2
True, 10, 3
Quantum, 10, 4
