generator, trial number, number
Weak, 1, 5
Pseudo, 1, 2
True, 1, 9
Quantum, 1, 6
Weak, 2, 9
Pseudo, 2, 4
True, 2, 9
Quantum, 2, 8
Weak, 3, 7
Pseudo, 3, 4
True, 3, 3
Quantum, 3, 10
Weak, 4, 4
Pseudo, 4, 8
True, 4, 7
Quantum, 4, 7
Weak, 5, 5
Pseudo, 5, 2
True, 5, 7
Quantum, 5, 9
Weak, 6, 6
Pseudo, 6, 9
True, 6, 4
Quantum, 6, 7
Weak, 7, 2
Pseudo, 7, 9
True, 7, 3
Quantum, 7, 6
Weak, 8, 5
Pseudo, 8, 6
True, 8, 6
Quantum, 8, 4
Weak, 9, 10
Pseudo, 9, 4
True, 9, 6
Quantum, 9, 5
Weak, 10, 7
Pseudo, 10, 8
True, 10, 1
Quantum, 10, 6
