generator, trial number, number
Weak, 1, 6
Pseudo, 1, 9
True, 1, 6
Quantum, 1, 9
Weak, 2, 8
Pseudo, 2, 5
True, 2, 10
Quantum, 2, 10
Weak, 3, 9
Pseudo, 3, 3
True, 3, 4
Quantum, 3, 6
Weak, 4, 4
Pseudo, 4, 5
True, 4, 5
Quantum, 4, 10
Weak, 5, 10
Pseudo, 5, 5
True, 5, 10
Quantum, 5, 2
Weak, 6, 3
Pseudo, 6, 4
True, 6, 4
Quantum, 6, 3
Weak, 7, 8
Pseudo, 7, 1
True, 7, 3
Quantum, 7, 8
Weak, 8, 2
Pseudo, 8, 8
True, 8, 7
Quantum, 8, 7
Weak, 9, 5
Pseudo, 9, 3
True, 9, 7
Quantum, 9, 2
Weak, 10, 9
Pseudo, 10, 4
True, 10, 4
Quantum, 10, 5
