generator, trial number, number
Weak, 1, 4
Pseudo, 1, 5
True, 1, 3
Quantum, 1, 3
Weak, 2, 10
Pseudo, 2, 5
True, 2, 9
Quantum, 2, 3
Weak, 3, 9
Pseudo, 3, 8
True, 3, 10
Quantum, 3, 8
Weak, 4, 4
Pseudo, 4, 6
True, 4, 7
Quantum, 4, 2
Weak, 5, 5
Pseudo, 5, 8
True, 5, 1
Quantum, 5, 5
Weak, 6, 6
Pseudo, 6, 2
True, 6, 10
Quantum, 6, 5
Weak, 7, 10
Pseudo, 7, 2
True, 7, 9
Quantum, 7, 5
Weak, 8, 5
Pseudo, 8, 2
True, 8, 10
Quantum, 8, 6
Weak, 9, 2
Pseudo, 9, 5
True, 9, 3
Quantum, 9, 9
Weak, 10, 5
Pseudo, 10, 6
True, 10, 2
Quantum, 10, 2
