generator, trial number, number
Weak, 1, 9
Pseudo, 1, 3
True, 1, 6
Quantum, 1, 3
Weak, 2, 9
Pseudo, 2, 5
True, 2, 8
Quantum, 2, 6
Weak, 3, 2
Pseudo, 3, 4
True, 3, 1
Quantum, 3, 7
Weak, 4, 9
Pseudo, 4, 2
True, 4, 1
Quantum, 4, 9
Weak, 5, 6
Pseudo, 5, 1
True, 5, 5
Quantum, 5, 2
Weak, 6, 5
Pseudo, 6, 1
True, 6, 10
Quantum, 6, 4
Weak, 7, 1
Pseudo, 7, 7
True, 7, 4
Quantum, 7, 4
Weak, 8, 4
Pseudo, 8, 9
True, 8, 6
Quantum, 8, 9
Weak, 9, 4
Pseudo, 9, 9
True, 9, 7
Quantum, 9, 9
Weak, 10, 5
Pseudo, 10, 1
True, 10, 10
Quantum, 10, 1
