generator, trial number, number
Weak, 1, 3
Pseudo, 1, 7
True, 1, 7
Quantum, 1, 6
Weak, 2, 4
Pseudo, 2, 9
True, 2, 5
Quantum, 2, 8
Weak, 3, 5
Pseudo, 3, 1
True, 3, 8
Quantum, 3, 3
Weak, 4, 6
Pseudo, 4, 5
True, 4, 6
Quantum, 4, 9
Weak, 5, 7
Pseudo, 5, 7
True, 5, 2
Quantum, 5, 6
Weak, 6, 6
Pseudo, 6, 3
True, 6, 3
Quantum, 6, 9
Weak, 7, 5
Pseudo, 7, 3
True, 7, 7
Quantum, 7, 8
Weak, 8, 3
Pseudo, 8, 5
True, 8, 10
Quantum, 8, 10
Weak, 9, 4
Pseudo, 9, 3
True, 9, 3
Quantum, 9, 8
Weak, 10, 9
Pseudo, 10, 7
True, 10, 6
Quantum, 10, 8
