generator, trial number, number
Weak, 1, 4
Pseudo, 1, 8
True, 1, 10
Quantum, 1, 5
Weak, 2, 7
Pseudo, 2, 8
True, 2, 10
Quantum, 2, 2
Weak, 3, 5
Pseudo, 3, 9
True, 3, 10
Quantum, 3, 7
Weak, 4, 7
Pseudo, 4, 9
True, 4, 6
Quantum, 4, 5
Weak, 5, 7
Pseudo, 5, 3
True, 5, 9
Quantum, 5, 2
Weak, 6, 9
Pseudo, 6, 4
True, 6, 8
Quantum, 6, 10
Weak, 7, 2
Pseudo, 7, 1
True, 7, 9
Quantum, 7, 8
Weak, 8, 2
Pseudo, 8, 8
True, 8, 9
Quantum, 8, 4
Weak, 9, 8
Pseudo, 9, 3
True, 9, 7
Quantum, 9, 6
Weak, 10, 2
Pseudo, 10, 8
True, 10, 2
Quantum, 10, 9
