generator, trial number, number
Weak, 1, 2
Pseudo, 1, 5
True, 1, 8
Quantum, 1, 9
Weak, 2, 5
Pseudo, 2, 1
True, 2, 5
Quantum, 2, 3
Weak, 3, 5
Pseudo, 3, 5
True, 3, 6
Quantum, 3, 2
Weak, 4, 5
Pseudo, 4, 5
True, 4, 8
Quantum, 4, 8
Weak, 5, 2
Pseudo, 5, 9
True, 5, 3
Quantum, 5, 8
Weak, 6, 8
Pseudo, 6, 4
True, 6, 2
Quantum, 6, 2
Weak, 7, 3
Pseudo, 7, 1
True, 7, 3
Quantum, 7, 7
Weak, 8, 9
Pseudo, 8, 2
True, 8, 4
Quantum, 8, 4
Weak, 9, 5
Pseudo, 9, 5
True, 9, 7
Quantum, 9, 8
Weak, 10, 7
Pseudo, 10, 9
True, 10, 9
Quantum, 10, 10
