generator, trial number, number
Weak, 1, 8
Pseudo, 1, 6
True, 1, 7
Quantum, 1, 10
Weak, 2, 5
Pseudo, 2, 3
True, 2, 5
Quantum, 2, 3
Weak, 3, 9
Pseudo, 3, 5
True, 3, 1
Quantum, 3, 6
Weak, 4, 9
Pseudo, 4, 7
True, 4, 8
Quantum, 4, 8
Weak, 5, 6
Pseudo, 5, 3
True, 5, 7
Quantum, 5, 8
Weak, 6, 9
Pseudo, 6, 8
True, 6, 3
Quantum, 6, 9
Weak, 7, 2
Pseudo, 7, 4
True, 7, 1
Quantum, 7, 10
Weak, 8, 6
Pseudo, 8, 3
True, 8, 3
Quantum, 8, 9
Weak, 9, 1
Pseudo, 9, 7
True, 9, 2
Quantum, 9, 3
Weak, 10, 8
Pseudo, 10, 1
True, 10, 7
Quantum, 10, 9
