generator, trial number, number
Weak, 1, 5
Pseudo, 1, 7
True, 1, 10
Quantum, 1, 6
Weak, 2, 9
Pseudo, 2, 9
True, 2, 5
Quantum, 2, 8
Weak, 3, 7
Pseudo, 3, 3
True, 3, 4
Quantum, 3, 4
Weak, 4, 9
Pseudo, 4, 9
True, 4, 6
Quantum, 4, 7
Weak, 5, 8
Pseudo, 5, 9
True, 5, 10
Quantum, 5, 6
Weak, 6, 8
Pseudo, 6, 2
True, 6, 8
Quantum, 6, 2
Weak, 7, 1
Pseudo, 7, 3
True, 7, 6
Quantum, 7, 9
Weak, 8, 2
Pseudo, 8, 3
True, 8, 10
Quantum, 8, 4
Weak, 9, 6
Pseudo, 9, 3
True, 9, 10
Quantum, 9, 10
Weak, 10, 6
Pseudo, 10, 4
True, 10, 3
Quantum, 10, 2
