generator, trial number, number
Weak, 1, 2
Pseudo, 1, 1
True, 1, 3
Quantum, 1, 1
Weak, 2, 4
Pseudo, 2, 9
True, 2, 8
Quantum, 2, 8
Weak, 3, 8
Pseudo, 3, 2
True, 3, 10
Quantum, 3, 8
Weak, 4, 9
Pseudo, 4, 5
True, 4, 8
Quantum, 4, 3
Weak, 5, 4
Pseudo, 5, 2
True, 5, 6
Quantum, 5, 4
Weak, 6, 4
Pseudo, 6, 6
True, 6, 4
Quantum, 6, 6
Weak, 7, 9
Pseudo, 7, 9
True, 7, 4
Quantum, 7, 8
Weak, 8, 10
Pseudo, 8, 7
True, 8, 2
Quantum, 8, 9
Weak, 9, 4
Pseudo, 9, 6
True, 9, 6
Quantum, 9, 3
Weak, 10, 8
Pseudo, 10, 4
True, 10, 6
Quantum, 10, 6
