generator, trial number, number
Weak, 1, 1
Pseudo, 1, 6
True, 1, 6
Quantum, 1, 3
Weak, 2, 1
Pseudo, 2, 4
True, 2, 7
Quantum, 2, 1
Weak, 3, 8
Pseudo, 3, 3
True, 3, 4
Quantum, 3, 2
Weak, 4, 10
Pseudo, 4, 9
True, 4, 1
Quantum, 4, 5
Weak, 5, 4
Pseudo, 5, 9
True, 5, 2
Quantum, 5, 2
Weak, 6, 9
Pseudo, 6, 5
True, 6, 3
Quantum, 6, 3
Weak, 7, 4
Pseudo, 7, 3
True, 7, 6
Quantum, 7, 8
Weak, 8, 3
Pseudo, 8, 4
True, 8, 8
Quantum, 8, 9
Weak, 9, 5
Pseudo, 9, 6
True, 9, 6
Quantum, 9, 10
Weak, 10, 2
Pseudo, 10, 9
True, 10, 9
Quantum, 10, 8
